Model,Anchovy.outs,Sardine.outs,Squid.outs,Rockfish.outs,Seabirds.outs,Sealions.outs,Salmon.outs,SoCal.outs,CenCal.outs,Global.outs
1,877.7157105,320.5228487,237.9259843,556.3069348,1266.876334,568.2905699,153.9081103,768.5916393,1216.897783,1986.62199
2,863.8208739,318.7016048,225.3571542,528.0082166,1229.035164,557.1838998,151.3417948,747.3436726,1184.559515,1930.997582
3,877.3492154,318.7879069,239.4193817,550.7458391,1236.962402,567.1967878,155.4759146,765.9324385,1186.587584,1944.536831
4,861.3446438,320.5928245,220.9104901,527.0955554,1225.330471,552.721978,151.778823,738.8050346,1179.957769,1922.63101
5,861.3446438,320.7872805,220.9104901,527.0955555,1225.330471,552.721978,151.778823,738.8050346,1179.957769,1922.63101
6,852.1237128,318.577098,208.7020168,539.9362545,1258.01739,541.5027492,155.3947391,740.7740823,1206.965511,1948.705204
7,876.0203028,320.4271821,210.0494957,541.8244554,1259.27599,541.5744879,153.7916369,741.5419742,1207.9931,1950.704858
8,841.5260998,319.3728451,205.3546927,520.4954238,1225.11784,535.4665763,153.5668598,726.7713345,1178.914195,1903.983309
9,852.1237128,318.577098,208.7020168,539.9362545,1258.01739,541.5027492,155.3947391,740.7740823,1206.965511,1948.705204
10,874.2510572,318.577098,220.4293737,525.3942982,1223.719077,552.2219321,149.4775202,738.7166233,1178.06006,1921.589745
